id,final_stake,final_synergy_score,blocks_proposed,blocks_attested,governance_votes,slashing_count,strategy,is_active,reputation_mean,reputation_std
val_0000,2687.8355846287827,352.73023219052845,171,15829,399,0,honest,True,352.8493997610954,0.26901153097430813
val_0001,47118.75918014989,361.33427030447496,176,15824,393,0,honest,True,361.41105985290784,0.2540360098924907
val_0002,10286.193197472609,355.08654412437164,151,12650,406,0,opportunistic,True,355.4753856412733,0.2755475945209162
val_0003,6131.497066273555,350.87756284968566,190,15810,395,0,honest,True,350.7316904588263,0.16375761162249658
val_0004,876.1030044956317,426.9682499900417,219,12053,500,0,cartel_member,True,426.9619848543614,0.0074628077714467824
val_0005,875.9468961951552,134.03407313113834,79,4716,155,0,byzantine,True,134.29803238916665,0.21596469495029183
val_0006,297.81909594087267,357.27849996074144,198,15802,404,0,honest,True,357.11430626476067,0.1377100443339758
val_0007,20651.628388214987,433.1184211997572,239,11968,500,0,cartel_member,True,433.1341840714155,0.00794680448358923
val_0008,6186.658006143382,357.787894949047,171,15829,403,0,honest,True,357.89883955884187,0.2738302210224013
val_0009,9310.886012413957,57.715925674374915,34,8004,49,0,lazy,True,57.80700707183486,0.06955856224409813
val_0010,102.17435869055163,427.19547510903226,248,12008,500,0,cartel_member,True,427.1860750027094,0.008671608717421933
val_0011,68322.74157823005,377.6522245959214,196,15804,405,0,honest,True,377.49708060032935,0.13092275797192257
val_0012,16758.924081993322,137.1432565925971,66,4818,152,0,byzantine,True,137.41242631858103,0.22086929647033646
val_0013,1262.1765924680844,119.12199377521762,79,4824,136,0,byzantine,True,119.3609424334862,0.1959283345630343
val_0014,1047.5036605527473,426.3971312781771,189,12021,500,0,cartel_member,True,426.37683543680146,0.009256034924842114
val_0015,1058.2873043109214,348.8661943332476,161,15839,395,0,honest,True,348.67163899717207,0.15620221184502095
val_0016,2001.991421442311,355.30056176538625,193,15807,402,0,honest,True,355.140036671925,0.1353220659879565
val_0017,4698.3546262165455,344.84101970514274,205,12670,395,0,opportunistic,True,344.96365876978047,0.27291075631215067
val_0018,3351.0330009628638,61.90859030320984,44,8100,56,0,lazy,True,62.01192003542948,0.08184441142383618
val_0019,1887.5668322694112,342.54183941454977,199,15801,386,0,honest,True,342.38602668017336,0.1666991913765671
val_0020,6434.5826459020445,351.2975621968912,162,15838,396,0,honest,True,351.3902069038028,0.2643461293274126
val_0021,770.8652859027587,358.0363804218552,187,15813,406,0,honest,True,357.9147638795214,0.1535583942913404
val_0022,1895.5021719602332,353.5304001396886,185,15815,400,0,honest,True,353.3659730613194,0.13842799910086023
val_0023,2601.556683255056,352.9387381694694,185,15814,399,0,adaptive,True,353.609198781934,0.5274380586141248
