id,final_stake,final_synergy_score,blocks_proposed,blocks_attested,governance_votes,slashing_count,strategy,is_active,reputation_mean,reputation_std
val_0000,2687.8355846287827,205.5993147907275,169,15831,402,0,honest,True,205.53695829819804,0.07802271077992762
val_0001,47118.75918014989,219.41289472042337,189,15811,391,0,honest,True,219.70162435017713,0.2371901665480789
val_0002,10286.193197472609,199.28402006479195,146,12639,400,0,opportunistic,True,199.2064795806112,0.06508103828819804
val_0003,6131.497066273555,208.87672778947947,200,15800,405,0,honest,True,208.78404516887514,0.07594800236367263
val_0004,876.1030044956317,79.98027277569047,69,4870,165,0,byzantine,True,79.71349296163439,0.21645584746430735
val_0005,875.9468961951552,205.39209166112568,192,15808,402,0,honest,True,205.4485875167471,0.13001446668192163
val_0006,297.81909594087267,209.46137485548076,205,15795,412,0,honest,True,209.3868841247762,0.06465230771804985
val_0007,20651.628388214987,83.84418795157376,88,4824,154,0,byzantine,True,83.97661030572715,0.10889437253993556
val_0008,6186.658006143382,203.30584741599978,183,15817,392,0,honest,True,203.2246121086703,0.07061101170458281
val_0009,9310.886012413957,41.51683166525528,35,8033,42,0,lazy,True,41.547553400725604,0.022725302819685753
val_0010,102.17435869055163,73.85368945753402,77,4868,150,0,byzantine,True,73.98457141412075,0.10428695327159879
val_0011,68322.74157823005,233.95996196217882,227,15773,404,0,honest,True,233.8531875461074,0.06803639471724088
val_0012,16758.924081993322,209.34047291620647,192,15808,396,0,honest,True,209.244379917409,0.0720127954732883
val_0013,1262.1765924680844,199.64706652322815,197,15803,387,0,honest,True,199.5785857905913,0.08025048552838808
val_0014,1047.5036605527473,70.95118026647842,71,4737,143,0,byzantine,True,71.04204707025225,0.08037930857135839
val_0015,1058.2873043109214,203.3175639485611,150,15850,399,0,honest,True,203.21889509462653,0.06864572820966254
val_0016,2001.991421442311,199.51124202352207,160,15840,388,0,honest,True,199.39803153242062,0.08769201420892733
val_0017,4698.3546262165455,200.13123660192463,180,12571,406,0,opportunistic,True,200.20843203406625,0.1453938773882225
val_0018,3351.0330009628638,42.161015590238925,44,8033,50,0,lazy,True,42.19547213790179,0.03111842518451945
val_0019,1887.5668322694112,205.46766596223839,213,15787,400,0,honest,True,205.81381036240975,0.2699067455471693
val_0020,6434.5826459020445,205.34996849067306,216,15784,394,0,honest,True,205.27365205210523,0.0671988747557822
val_0021,770.8652859027587,203.85513592499683,179,15821,399,0,honest,True,203.89186967404964,0.1320058897103694
val_0022,1895.5021719602332,208.67302921289027,195,15805,409,0,honest,True,208.60743358243428,0.05794249488803409
val_0023,2601.556683255056,211.0019616898563,197,15802,414,0,adaptive,True,210.9569803108281,0.07288484340625165
val_0024,3664.2042020439517,45.39096709131607,35,7921,58,0,lazy,True,45.44618492825046,0.04509159844468352
val_0025,13083.213196954575,207.7801829368394,188,15812,396,0,honest,True,207.99232446290083,0.15610614006817203
val_0026,1171.4181202198238,40.92914713653536,32,8009,49,0,lazy,True,40.97736815673077,0.03623030520763727
val_0027,4524.206314609849,204.48736491105316,176,15824,396,0,honest,True,204.8283108101709,0.26641193973504657
val_0028,5993.7901115356635,199.09698411006576,163,12601,403,0,opportunistic,True,199.2956496931971,0.1379778871972406
val_0029,235.75413163351325,198.96648066283956,185,15815,387,0,honest,True,198.88314611310284,0.08537293639079983
val_0030,6333.757541154109,213.68146930343278,214,15786,415,0,honest,True,213.59618332018624,0.0672900838115426
val_0031,971.3520315820557,200.58968564871415,155,15845,392,0,honest,True,200.5167378872462,0.07975475394911509
val_0032,335.609796241172,199.5380092590407,173,15827,388,0,honest,True,199.85393729793913,0.25481040287201556
val_0033,45812.47741797522,226.02325266966878,221,15779,406,0,honest,True,225.93718769952807,0.061042953762772974
val_0034,61908.06307969134,105.11810212110097,108,4769,165,0,byzantine,True,105.09301998113146,0.12060827142625588
val_0035,14699.920871267355,214.26310251483326,198,15802,410,0,honest,True,214.4720029670115,0.14387996539641135
val_0036,2005.3106046074906,208.57944399166206,189,15810,409,0,adaptive,True,208.49738095551035,0.06636928949669518
val_0037,518.9664778591923,201.21455834451353,173,15827,392,0,honest,True,201.1172289923246,0.0781698965054962
val_0038,8463.047092778665,201.033799328302,173,12559,405,0,opportunistic,True,200.95374202838556,0.0889268177583963
val_0039,3455.0495778608256,201.34409661926026,180,15820,389,0,honest,True,201.24374322812747,0.07897223878371351
val_0040,663.2967471157306,199.57907841403892,169,15831,389,0,honest,True,199.50449628266645,0.0778370988673625
val_0041,4224.272597855164,206.91565690336859,218,15782,400,0,honest,True,206.82050566253557,0.08889520704320841
val_0042,172.72069858789268,207.2498176361422,198,15802,407,0,honest,True,207.15626082968777,0.07017443736761185
val_0043,28937.00563598763,219.59791391931503,182,15818,410,0,honest,True,219.51353255669875,0.06499627652376307
val_0044,1616.910819029436,205.21172398628784,153,15847,403,0,honest,True,205.29899911239173,0.1733810082880846
val_0045,7778.769586809818,67.652440440607,57,4725,128,0,byzantine,True,67.77421193055629,0.10112072955376238
val_0046,2069.2900324486786,200.2807078770752,193,15807,388,0,honest,True,200.4701048383036,0.13336424988132115
val_0047,4619.971378075794,200.38687017722376,188,15812,386,0,honest,True,200.7352070301832,0.2840430530012839
val_0048,5083.26233405476,211.03803105565788,190,15810,412,0,honest,True,210.95392697920772,0.05836730522086136
val_0049,1068.2168291154167,202.43837434846995,182,15818,395,0,honest,True,202.3181057352202,0.09214414129873677
val_0050,67782.57303636374,223.82463731730644,214,15783,380,0,adaptive,True,223.73509824813922,0.07806257069237753
val_0051,12471.164179267422,203.94642659636898,171,15829,388,0,honest,True,204.1504146122494,0.15109738928483055
val_0052,40164.25185341503,222.44060318078456,180,15820,406,0,honest,True,222.37730145118883,0.08024577448239162
val_0053,25524.75884151291,214.11671584864723,195,15805,398,0,honest,True,214.16696655575794,0.12406163733933391
val_0054,6114.578494639113,202.7187041638264,176,15824,391,0,honest,True,202.6166890289127,0.07565504116348178
val_0055,32723.568470763188,212.65070257321477,180,15820,389,0,honest,True,212.5629044546076,0.08257860978009879
val_0056,466.26396544134974,201.99930425683493,191,15809,394,0,honest,True,202.31201919610402,0.2465610200125477
val_0057,1145.4183619313342,69.01884016237473,65,4811,138,0,byzantine,True,69.14479463671377,0.09861551663593122
val_0058,229.3018564130142,206.84914708972795,197,15803,406,0,honest,True,206.77406379238863,0.07025496946156405
val_0059,2195.1950100252266,203.2266867159023,197,15803,395,0,honest,True,203.5517700860755,0.25701332115800224
val_0060,2841.501474569279,204.62010989232544,194,15806,398,0,honest,True,204.6759837190022,0.13537493969599376
