id,final_stake,final_synergy_score,blocks_proposed,blocks_attested,governance_votes,slashing_count,strategy,is_active,reputation_mean,reputation_std
val_0000,2687.8355846287827,199.90231043136185,183,15817,387,0,honest,True,199.81837594542841,0.09003994141758377
val_0001,47118.75918014989,218.07970518365246,201,15799,387,0,honest,True,217.95697097610503,0.09050817321652524
val_0002,10286.193197472609,203.76128887204828,172,12728,409,0,opportunistic,True,203.69659177651414,0.058841882236019195
val_0003,6131.497066273555,204.29212261438147,210,15790,393,0,honest,True,204.18969146509727,0.08415988969300617
val_0004,876.1030044956317,68.55531522886983,63,4848,136,0,byzantine,True,68.40401666789582,0.11898957322005894
val_0005,875.9468961951552,198.80347846999564,202,15798,385,0,honest,True,198.97438668257462,0.12538239659232242
val_0006,297.81909594087267,207.30830441683483,234,15766,405,0,honest,True,207.22974658142496,0.06854583693656734
val_0007,20651.628388214987,83.31587837911928,87,4783,152,0,byzantine,True,83.31173047520126,0.10739476102762435
val_0008,6186.658006143382,208.4122086477451,214,15786,402,0,honest,True,208.33751351811176,0.0681683861459638
val_0009,9310.886012413957,45.28733285264161,33,7958,52,0,lazy,True,45.29050288178889,0.07092734103707263
val_0010,102.17435869055163,74.21198840432439,88,4740,150,0,byzantine,True,74.35041527032982,0.11435099519315264
val_0011,68322.74157823005,229.39785819341873,238,15762,392,0,honest,True,229.42968372456588,0.13472774123761633
val_0012,16758.924081993322,81.03547489591436,88,4644,152,0,byzantine,True,81.18767769645643,0.11880686389247355
val_0013,1262.1765924680844,75.2950810972853,78,4768,152,0,byzantine,True,75.43863805416356,0.11186761108016892
val_0014,1047.5036605527473,78.87142979109174,79,4779,161,0,byzantine,True,79.014741331013,0.11785409450981965
val_0015,1058.2873043109214,205.28501657366883,184,15816,402,0,honest,True,205.19704738823236,0.08858286680546401
val_0016,2001.991421442311,206.9549086554922,188,15812,405,0,honest,True,206.99826605174482,0.16413980995493
val_0017,4698.3546262165455,199.6396527717228,191,12585,404,0,opportunistic,True,199.57011032792533,0.06396485644239865
val_0018,3351.0330009628638,38.99788202264747,48,7850,42,0,lazy,True,39.041449412263916,0.03303469009101168
val_0019,1887.5668322694112,205.13436857804564,216,15784,399,0,honest,True,205.06153467594774,0.06432608874351027
val_0020,6434.5826459020445,206.02078696993422,228,15772,396,0,honest,True,206.2195957866577,0.13794810792323647
val_0021,770.8652859027587,205.3050562043329,190,15810,401,0,honest,True,205.20026917646825,0.07315482552513808
val_0022,1895.5021719602332,210.74876515881175,216,15784,412,0,honest,True,210.68812013435877,0.054273620020629666
val_0023,2601.556683255056,206.41735651475832,207,15792,402,0,adaptive,True,206.34649757479215,0.06251785450037382
val_0024,3664.2042020439517,43.50946673201254,35,7971,53,0,lazy,True,43.56146764086336,0.04337178065798481
val_0025,13083.213196954575,208.89258212110704,184,15816,399,0,honest,True,209.23582855304386,0.26810334569183186
val_0026,1171.4181202198238,39.606734826447344,31,7970,46,0,lazy,True,39.37052880152264,0.16299068322529173
val_0027,4524.206314609849,198.07453925975054,176,15824,380,0,honest,True,197.9832376206176,0.07878198094290687
val_0028,5993.7901115356635,203.36596334611772,207,12586,411,0,opportunistic,True,203.29033309508276,0.06631444938115809
val_0029,235.75413163351325,207.94584948862163,210,15790,407,0,honest,True,208.14434675262015,0.1404053344449052
val_0030,6333.757541154109,206.15202075698676,200,15800,398,0,honest,True,206.07458256258317,0.08013994862876958
val_0031,971.3520315820557,205.5385370360942,179,15821,403,0,honest,True,205.4428719483523,0.0773193577083651
val_0032,335.609796241172,74.5127051975769,54,4682,154,0,byzantine,True,74.37556594779333,0.11427622397600108
val_0033,45812.47741797522,91.52794290519326,116,4714,147,0,byzantine,True,91.22170283414809,0.22880988802416719
val_0034,61908.06307969134,99.8584547558661,89,4779,152,0,byzantine,True,99.84372044980476,0.1348568287424258
val_0035,14699.920871267355,215.9872633810998,239,15761,412,0,honest,True,216.03881058675424,0.1310415805092791
val_0036,2005.3106046074906,207.01373992273292,191,15805,405,0,adaptive,True,207.07321253163917,0.14066520885297434
val_0037,518.9664778591923,202.5561953030359,197,15803,394,0,honest,True,202.75182976938996,0.14746226883724953
val_0038,8463.047092778665,191.53456835181686,169,12648,381,0,opportunistic,True,191.57583180130834,0.12254764210659634
val_0039,3455.0495778608256,205.44634198755165,202,15798,399,0,honest,True,205.34925406620852,0.07900599875535562
val_0040,663.2967471157306,207.31103961752598,192,15808,407,0,honest,True,207.384320343924,0.14043160262359006
val_0041,4224.272597855164,214.17508857375978,220,15780,419,0,honest,True,214.09393764102606,0.07916969844145563
val_0042,172.72069858789268,201.81860644195558,206,15794,393,0,honest,True,201.7134200224403,0.07988117302447399
val_0043,28937.00563598763,211.11357603296665,179,15821,389,0,honest,True,211.010701629664,0.08013886712293158
val_0044,1616.910819029436,194.3493015979146,169,15831,374,0,honest,True,194.39718846563864,0.12781220689732575
val_0045,7778.769586809818,79.69243642733011,73,4893,156,0,byzantine,True,79.81507525199576,0.10716578510833871
val_0046,2069.2900324486786,82.27654403968104,76,4725,169,0,byzantine,True,82.42185645582187,0.12454174754231596
val_0047,4619.971378075794,80.35119660494009,70,4730,162,0,byzantine,True,80.33790011687319,0.13636771423792243
val_0048,5083.26233405476,212.62718348389706,225,15775,414,0,honest,True,213.0024846908474,0.30560477487451404
val_0049,1068.2168291154167,207.2297158914847,199,15801,406,0,honest,True,207.2880370059654,0.17117928888192424
val_0050,67782.57303636374,227.2177852607964,240,15758,387,0,adaptive,True,227.1086015850659,0.08652329469202741
val_0051,12471.164179267422,209.39030892318274,217,15783,398,0,honest,True,209.33367396141588,0.07610020699149132
val_0052,40164.25185341503,211.0381470403018,172,15828,378,0,honest,True,211.07868092664717,0.12137339396008905
val_0053,25524.75884151291,206.8347827719181,192,15808,380,0,honest,True,207.0230667910832,0.14202841375464584
val_0054,6114.578494639113,207.9108473100476,193,15807,403,0,honest,True,207.8467457290933,0.08083509324807978
val_0055,32723.568470763188,219.54028146848893,219,15781,404,0,honest,True,219.43272040727751,0.06874314282406015
val_0056,466.26396544134974,68.82218309157173,70,4790,137,0,byzantine,True,68.66164840634889,0.12876273641320277
val_0057,1145.4183619313342,71.71366790774611,83,4746,144,0,byzantine,True,71.67620866129113,0.14666206121120645
val_0058,229.3018564130142,213.50948821074738,208,15792,422,0,honest,True,213.69630445455576,0.13202681382776407
val_0059,2195.1950100252266,74.79840443723783,79,4891,149,0,byzantine,True,74.92722435506442,0.10207935682882824
val_0060,2841.501474569279,200.74710229828872,200,15800,388,0,honest,True,200.6479835614877,0.081518659569364
val_0061,1719.363303471393,204.50877571895475,209,15791,397,0,honest,True,204.43458182622834,0.06531041998924668
val_0062,16410.408195928823,215.1048072890631,205,15795,410,0,honest,True,215.02348004413486,0.08172653354152244
val_0063,2502.5304585326503,78.01602101224643,79,4686,159,0,byzantine,True,78.15446359477647,0.11711348726791675
val_0064,1799.4973783618814,38.78884660349637,33,7843,44,0,lazy,True,38.40334499696959,0.30959799985868053
val_0065,5010.586108149574,209.32419594887,222,15778,406,0,honest,True,209.50485184795897,0.12927527989987597
val_0066,779.8410338832417,44.91976448296796,56,7985,58,0,lazy,True,44.71113814773578,0.14822711698633753
val_0067,14237.37258262064,215.1806521099315,247,15753,410,0,honest,True,215.11142034782603,0.06487408276193402
val_0068,387.89042285893396,197.8004599024305,186,12598,404,0,opportunistic,True,197.99119334963456,0.13787147893556345
val_0069,124275.65676723995,260.75839309480483,263,15737,413,0,honest,True,260.9459770012983,0.1288468647010973
val_0070,12303.520619987423,209.74233079813936,200,15800,400,0,honest,True,209.67011963510842,0.06349804954731708
val_0071,1164.6498412737972,207.68909194963263,200,15799,407,0,adaptive,True,207.59113753707868,0.07838971078133797
val_0072,27.06374617738936,79.01984171829733,60,4872,163,0,byzantine,True,78.88619047891476,0.10831944018563398
val_0073,15258.278900040013,196.36245225530746,161,12610,386,0,opportunistic,True,196.41746190603058,0.1304648510051442
val_0074,9264.898137549326,209.83756993559712,187,15813,404,0,honest,True,210.04134822838492,0.14112892800645882
val_0075,10156.606338882428,196.37674132504398,182,12741,390,0,opportunistic,True,196.58336990335323,0.13808425788751694
val_0076,12247.754980061589,212.1698369740833,202,15798,407,0,honest,True,212.1191184641614,0.07430072881291086
val_0077,385.08302975169426,67.18650430447022,68,4811,133,0,byzantine,True,67.15898261368444,0.12865168115268394
val_0078,2519.997512221559,45.12829660364887,33,8020,58,0,lazy,True,45.16377613917718,0.0435140144798941
val_0079,626.1279642588223,40.016934586908086,34,8032,47,0,lazy,True,40.0669706167927,0.041409123603760485
val_0080,20231.52332960269,86.75005047201255,85,4801,161,0,byzantine,True,86.58188578678677,0.12947282180445083
val_0081,6711.743805372898,211.31534715819234,209,15791,410,0,honest,True,211.50195806795264,0.13197072888530934
val_0082,2247.8937591670183,209.68309327319955,198,15802,411,0,honest,True,209.61605390306798,0.06118586017988336
val_0083,327.4717788191386,192.68510250195624,195,12707,390,0,opportunistic,True,192.74039397356432,0.1330613290248071
val_0084,2062.6700207761,202.7228719918009,195,15803,394,0,adaptive,True,202.62230508443153,0.06964046559499514
val_0085,2193.813382861102,206.87835130657015,199,15801,403,0,honest,True,206.93730302449464,0.1304360918574822
val_0086,10182.404216578396,209.65048463051278,198,15802,403,0,honest,True,209.57105526568688,0.07168118461414767
val_0087,7077.33778083014,41.3582879616647,29,7907,45,0,lazy,True,41.3566938090525,0.06962399334063497
val_0088,24029.41432358156,210.66796400635403,193,15807,391,0,honest,True,210.56598167632959,0.0717232617794032
val_0089,3887.0335754033954,76.05250560806678,70,4730,152,0,byzantine,True,76.05036192970047,0.10786594083930144
val_0090,648.5199956077901,199.18712154146183,191,12570,407,0,opportunistic,True,199.12782036939296,0.05482639686356469
val_0091,9510.242140892538,213.45714005131626,201,15799,413,0,honest,True,213.38188664210327,0.0639784117821168
val_0092,11671.76693230951,202.71678117035924,184,15816,385,0,honest,True,202.62952133228032,0.07560220895466623
val_0093,5356.263041175726,201.55049426789023,191,15809,388,0,honest,True,201.88465308104563,0.26075899960783744
val_0094,12230.485606773122,209.4248222213367,205,15795,400,0,honest,True,209.33129544047503,0.07984206585604268
val_0095,4203.266283299087,204.6965099935973,191,15809,397,0,honest,True,204.76508878951228,0.13940824239081243
val_0096,4664.365603511014,201.36177185723386,190,12647,408,0,opportunistic,True,201.30596007133127,0.07408149699354245
val_0097,3296.245730551757,202.81627727414858,177,15823,393,0,honest,True,202.7181642784461,0.08565444720032196
val_0098,126.69250961226385,208.77555597611536,231,15769,409,0,honest,True,208.85737870436037,0.1469881828353925
val_0099,578.6994145010945,41.618670673649014,42,7959,51,0,lazy,True,41.6747172221813,0.03896637964921403
