id,final_stake,final_synergy_score,blocks_proposed,blocks_attested,governance_votes,slashing_count,strategy,is_active,reputation_mean,reputation_std
val_0000,2687.8355846287827,103.99731604648183,156,15844,401,0,honest,True,103.95761888161353,0.03544322909013289
val_0001,47118.75918014989,136.7647580583306,215,15785,407,0,honest,True,136.78028888894755,0.06336768764142146
val_0002,10286.193197472609,106.38956312208781,152,12581,408,0,opportunistic,True,106.3590557744672,0.03040595454707937
val_0003,6131.497066273555,106.84665650722214,195,15805,402,0,honest,True,106.87128530959774,0.06541181293523031
val_0004,876.1030044956317,117.99435842104182,193,11975,500,0,cartel_member,True,117.99578515153787,0.002840574874046815
val_0005,875.9468961951552,35.308051698772836,72,4751,140,0,byzantine,True,35.294319428291026,0.061416607322120946
val_0006,297.81909594087267,100.75696205651934,177,15823,393,0,honest,True,100.71853147015787,0.04251388158295478
val_0007,20651.628388214987,132.33100705094918,232,11980,500,0,cartel_member,True,132.33473775117264,0.0035305250878342937
val_0008,6186.658006143382,105.5928587301602,187,15813,396,0,honest,True,105.55152018694679,0.037109433064676435
val_0009,9310.886012413957,29.198584362135737,46,8066,60,0,lazy,True,29.21121478066608,0.019824275197337454
val_0010,102.17435869055163,117.81013071412482,231,11881,500,0,cartel_member,True,117.80298635094277,0.005144281691377205
val_0011,68322.74157823005,149.97481092552994,248,15752,397,0,honest,True,149.9467063856606,0.03805427885686128
val_0012,16758.924081993322,49.182217302567196,89,4863,152,0,byzantine,True,49.11895747560664,0.054768432972722624
val_0013,1262.1765924680844,39.25101927859743,63,4733,158,0,byzantine,True,39.092890465963535,0.12312436559470187
val_0014,1047.5036605527473,118.04683466126811,184,12011,500,0,cartel_member,True,118.03984994331904,0.004079433545236264
val_0015,1058.2873043109214,102.47622019795296,140,15860,401,0,honest,True,102.42842006133722,0.03508297808520447
val_0016,2001.991421442311,104.11140054476768,191,15809,403,0,honest,True,104.07585101104115,0.03120199461390028
val_0017,4698.3546262165455,104.30426991863948,200,12600,414,0,opportunistic,True,104.35186986276216,0.07559102013873896
val_0018,3351.0330009628638,21.005308663449036,36,7994,41,0,lazy,True,21.01975668468513,0.03566286252865252
val_0019,1887.5668322694112,105.56911738159648,203,15797,410,0,honest,True,105.5370345157192,0.028460261147638388
val_0020,6434.5826459020445,104.27148288597938,161,15839,390,0,honest,True,104.21285190028351,0.04143954873728075
val_0021,770.8652859027587,105.48566132159426,176,15824,415,0,honest,True,105.45481128202516,0.02717781352478994
val_0022,1895.5021719602332,105.49380534175955,178,15822,410,0,honest,True,105.46128394202847,0.028576257249707707
val_0023,2601.556683255056,98.89189858780333,153,15846,377,0,adaptive,True,98.91614950741697,0.06416929337201528
val_0024,3664.2042020439517,23.402297380291614,49,8003,52,0,lazy,True,23.424518015546237,0.01743051368788043
val_0025,13083.213196954575,110.02878460825272,170,15830,395,0,honest,True,109.99708301941871,0.0390799779382486
val_0026,1171.4181202198238,23.08554259765674,39,7963,59,0,lazy,True,23.114342452061592,0.02209669863810628
val_0027,4524.206314609849,105.46067495273388,154,15846,403,0,honest,True,105.56053998180576,0.06963569366045594
val_0028,5993.7901115356635,101.03554825689439,173,12736,394,0,opportunistic,True,100.98968030519154,0.041301784168348496
val_0029,235.75413163351325,99.52236247505388,178,15822,387,0,honest,True,99.47916705793813,0.03772382198583585
val_0030,6333.757541154109,105.92998131577775,190,15810,397,0,honest,True,105.8784548111371,0.04041958383675081
val_0031,971.3520315820557,100.01055588780426,140,15860,389,0,honest,True,99.9552656976873,0.04441638351480747
val_0032,335.609796241172,38.83493705339686,72,4830,158,0,byzantine,True,38.831358202841514,0.06766541805067418
val_0033,45812.47741797522,150.09361074736736,253,11890,500,0,cartel_member,True,150.09363350902441,0.005554885424192004
val_0034,61908.06307969134,161.77679672781971,288,11873,500,0,cartel_member,True,161.7680732620504,0.006997020425698983
val_0035,14699.920871267355,111.4846385167333,181,15819,396,0,honest,True,111.43767212838355,0.037990172366314405
val_0036,2005.3106046074906,106.40352640427255,181,15817,415,0,adaptive,True,106.50141843034777,0.0684595527471498
val_0037,518.9664778591923,37.99456135553421,52,4735,155,0,byzantine,True,38.060582588104474,0.05445114189982122
val_0038,8463.047092778665,102.3907282594155,171,12778,392,0,opportunistic,True,102.34943855262016,0.04478923914342314
val_0039,3455.0495778608256,105.96178471474246,176,15824,408,0,honest,True,106.12846260627288,0.13361386228843009
val_0040,663.2967471157306,101.52399319179978,169,15831,396,0,honest,True,101.61839269154466,0.06822860366660859
val_0041,4224.272597855164,103.2171849363424,187,15813,391,0,honest,True,103.1695985171027,0.04392453030308923
val_0042,172.72069858789268,99.14494168772924,184,15816,384,0,honest,True,99.08267100580274,0.04790275248203115
val_0043,28937.00563598763,120.68274675513152,184,15816,392,0,honest,True,120.63279027483894,0.038898971315611354
val_0044,1616.910819029436,105.02877451865325,154,15846,411,0,honest,True,105.00347873817516,0.03705775568437779
val_0045,7778.769586809818,122.96123346668914,200,12013,500,0,cartel_member,True,122.97037324357574,0.004536816233281399
val_0046,2069.2900324486786,118.76208512159526,188,11970,500,0,cartel_member,True,118.76827452556968,0.003472895885209656
val_0047,4619.971378075794,120.90008409616128,222,11913,500,0,cartel_member,True,120.89857815950207,0.00478627069411663
val_0048,5083.26233405476,103.67221861048581,174,15826,390,0,honest,True,103.69629644879413,0.06583803698240387
val_0049,1068.2168291154167,102.22160141101277,188,15812,397,0,honest,True,102.25006825156602,0.08015808418629947
val_0050,67782.57303636374,150.58494609481082,247,15751,401,0,adaptive,True,150.550910902506,0.0305022428580512
val_0051,12471.164179267422,110.62274385478777,154,15846,401,0,honest,True,110.65239391765458,0.06602123018220758
val_0052,40164.25185341503,129.54804682622245,220,15780,395,0,honest,True,129.7090126246043,0.12408314874167259
val_0053,25524.75884151291,51.643971287181415,78,4758,134,0,byzantine,True,51.49802155562204,0.11621445021885757
val_0054,6114.578494639113,106.16399502781687,171,15829,400,0,honest,True,106.24350329737301,0.06524974193839528
val_0055,32723.568470763188,122.42345421224782,210,15790,386,0,honest,True,122.38116841521617,0.03694600030156549
val_0056,466.26396544134974,39.04679077312766,70,4786,159,0,byzantine,True,39.04624518907764,0.05334881832592476
val_0057,1145.4183619313342,118.28038526537769,202,11962,500,0,cartel_member,True,118.27100959374854,0.01266087103967545
val_0058,229.3018564130142,104.72826672408291,178,15822,412,0,honest,True,104.68678464605595,0.03484521483406525
val_0059,2195.1950100252266,119.34024923281302,228,11963,500,0,cartel_member,True,119.35025740490872,0.005127703659763086
val_0060,2841.501474569279,103.59368538998214,164,15836,399,0,honest,True,103.6210089992842,0.06752764518854935
val_0061,1719.363303471393,103.7764405687228,161,15839,404,0,honest,True,103.73045521395841,0.033321111622457704
val_0062,16410.408195928823,114.07564640748768,198,15802,401,0,honest,True,114.031990741409,0.039846776246193594
val_0063,2502.5304585326503,119.54538342172916,230,11935,500,0,cartel_member,True,119.54569271226782,0.004114709814386182
val_0064,1799.4973783618814,21.42829597989086,38,8060,49,0,lazy,True,21.38500986934234,0.07985865509313843
val_0065,5010.586108149574,102.00899999179543,191,15809,382,0,honest,True,102.03099143117346,0.05913184688464543
