epoch,height,active_validators,total_stake,gini_coefficient,avg_synergy_score,finality_rate,slashing_events,governance_participation,cartel_control,byzantine_stake_ratio
0,32,100,999528.8124081979,0.6809630031120741,35.334907411080124,0.96875,1,0.54,0.0,0.30178311105363603
1,64,100,999528.8124081979,0.6809630031120741,143.48467290007144,1.0,1,1.1,0.0,0.30178311105363603
2,96,100,999528.8124081979,0.6809630031120741,145.4558595333212,1.0,1,0.825,0.0,0.30178311105363603
3,128,100,999528.8124081979,0.6809630031120741,145.47657941175746,1.0,1,0.73,0.0,0.30178311105363603
4,160,100,999528.8124081979,0.6809630031120741,144.97827787161978,1.0,1,0.6975,0.0,0.30178311105363603
5,192,100,999528.8124081979,0.6809630031120741,147.09398662067312,1.0,1,0.672,0.0,0.30178311105363603
6,224,100,999528.8124081979,0.6809630031120741,147.45312275415358,1.0,1,0.6416666666666667,0.0,0.30178311105363603
7,256,100,999528.8124081979,0.6809630031120741,145.46177691501072,1.0,1,0.6285714285714286,0.0,0.30178311105363603
8,288,100,999528.8124081979,0.6809630031120741,145.50168896666068,1.0,1,0.61375,0.0,0.30178311105363603
9,320,100,999528.8124081979,0.6809630031120741,144.5974156975039,1.0,1,0.6122222222222222,0.0,0.30178311105363603
10,352,100,999528.8124081979,0.6809630031120741,145.71448649388503,1.0,1,0.608,0.0,0.30178311105363603
11,384,100,999528.8124081979,0.6809630031120741,146.10132524221723,1.0,1,0.6036363636363636,0.0,0.30178311105363603
12,416,100,999528.8124081979,0.6809630031120741,146.22582799664823,1.0,1,0.6008333333333333,0.0,0.30178311105363603
13,448,100,999528.8124081979,0.6809630031120741,146.44569060868645,1.0,1,0.5938461538461538,0.0,0.30178311105363603
14,480,100,999528.8124081979,0.6809630031120741,145.84263903321917,1.0,1,0.5914285714285714,0.0,0.30178311105363603
15,512,100,999528.8124081979,0.6809630031120741,145.96111038648152,1.0,1,0.5893333333333334,0.0,0.30178311105363603
16,544,100,999528.8124081979,0.6809630031120741,146.05951627462198,1.0,1,0.586875,0.0,0.30178311105363603
17,576,100,999528.8124081979,0.6809630031120741,146.05594559604836,1.0,1,0.5888235294117647,0.0,0.30178311105363603
18,608,100,999528.8124081979,0.6809630031120741,146.78720515602706,1.0,1,0.5838888888888889,0.0,0.30178311105363603
19,640,100,999528.8124081979,0.6809630031120741,146.21052461856954,1.0,1,0.5826315789473684,0.0,0.30178311105363603
20,672,100,999528.8124081979,0.6809630031120741,146.27388135464054,1.0,1,0.582,0.0,0.30178311105363603
21,704,100,999528.8124081979,0.6809630031120741,146.43761624943582,1.0,1,0.5833333333333334,0.0,0.30178311105363603
22,736,100,999528.8124081979,0.6809630031120741,146.94110167764305,1.0,1,0.5809090909090909,0.0,0.30178311105363603
23,768,100,999528.8124081979,0.6809630031120741,146.72026779040175,1.0,1,0.5782608695652174,0.0,0.30178311105363603
24,800,100,999528.8124081979,0.6809630031120741,146.41881177406074,1.0,1,0.5770833333333333,0.0,0.30178311105363603
25,832,100,999528.8124081979,0.6809630031120741,146.3743998841984,1.0,1,0.5776,0.0,0.30178311105363603
26,864,100,999528.8124081979,0.6809630031120741,146.65578256239314,1.0,1,0.5773076923076923,0.0,0.30178311105363603
27,896,100,999528.8124081979,0.6809630031120741,146.75045997110098,1.0,1,0.5777777777777777,0.0,0.30178311105363603
28,928,100,999528.8124081979,0.6809630031120741,146.99626359201162,1.0,1,0.5764285714285714,0.0,0.30178311105363603
29,960,100,999528.8124081979,0.6809630031120741,146.89061403447465,1.0,1,0.5748275862068966,0.0,0.30178311105363603
30,992,100,999528.8124081979,0.6809630031120741,146.70327078900837,1.0,1,0.5743333333333334,0.0,0.30178311105363603
31,1024,100,999528.8124081979,0.6809630031120741,146.7399201188025,1.0,1,0.5732258064516129,0.0,0.30178311105363603
32,1056,100,999528.8124081979,0.6809630031120741,146.6356800184796,1.0,1,0.5721875,0.0,0.30178311105363603
33,1088,100,999528.8124081979,0.6809630031120741,146.54437212918742,1.0,1,0.5709090909090909,0.0,0.30178311105363603
34,1120,100,999528.8124081979,0.6809630031120741,146.4019900224521,1.0,1,0.5691176470588235,0.0,0.30178311105363603
35,1152,100,999528.8124081979,0.6809630031120741,146.15494592697692,1.0,1,0.5694285714285714,0.0,0.30178311105363603
36,1184,100,999528.8124081979,0.6809630031120741,146.2936472590458,1.0,1,0.57,0.0,0.30178311105363603
37,1216,100,999528.8124081979,0.6809630031120741,146.48837688341985,1.0,1,0.5686486486486486,0.0,0.30178311105363603
38,1248,100,999528.8124081979,0.6809630031120741,146.31026574612667,1.0,1,0.5678947368421052,0.0,0.30178311105363603
39,1280,100,999528.8124081979,0.6809630031120741,146.23936663306068,1.0,1,0.5671794871794872,0.0,0.30178311105363603
40,1312,100,999528.8124081979,0.6809630031120741,146.16468851882846,1.0,1,0.56725,0.0,0.30178311105363603
41,1344,100,999528.8124081979,0.6809630031120741,146.23771042908942,1.0,1,0.5670731707317073,0.0,0.30178311105363603
42,1376,100,999528.8124081979,0.6809630031120741,146.25875285389537,1.0,1,0.5697619047619048,0.0,0.30178311105363603
43,1408,100,999528.8124081979,0.6809630031120741,146.84348440180966,1.0,1,0.5706976744186046,0.0,0.30178311105363603
44,1440,100,999528.8124081979,0.6809630031120741,147.0864849769606,1.0,1,0.5704545454545454,0.0,0.30178311105363603
45,1472,100,999528.8124081979,0.6809630031120741,147.09839124306237,1.0,1,0.5706666666666667,0.0,0.30178311105363603
46,1504,100,999528.8124081979,0.6809630031120741,147.2041659057784,1.0,1,0.5702173913043478,0.0,0.30178311105363603
47,1536,100,999528.8124081979,0.6809630031120741,147.16634556765993,1.0,1,0.568936170212766,0.0,0.30178311105363603
48,1568,100,999528.8124081979,0.6809630031120741,146.96749356639367,1.0,1,0.5683333333333334,0.0,0.30178311105363603
49,1600,100,999528.8124081979,0.6809630031120741,146.90396119675347,1.0,1,0.5695918367346938,0.0,0.30178311105363603
50,1632,100,999528.8124081979,0.6809630031120741,147.19907300907067,1.0,1,0.5698,0.0,0.30178311105363603
51,1664,100,999528.8124081979,0.6809630031120741,147.29038341502508,1.0,1,0.5692156862745098,0.0,0.30178311105363603
52,1696,100,999528.8124081979,0.6809630031120741,147.22620655540334,1.0,1,0.57,0.0,0.30178311105363603
53,1728,100,999528.8124081979,0.6809630031120741,147.42050098364376,1.0,1,0.570377358490566,0.0,0.30178311105363603
54,1760,100,999528.8124081979,0.6809630031120741,147.53304943676403,1.0,1,0.570925925925926,0.0,0.30178311105363603
55,1792,100,999528.8124081979,0.6809630031120741,147.6809519576972,1.0,1,0.572,0.0,0.30178311105363603
56,1824,100,999528.8124081979,0.6809630031120741,147.93123654015537,1.0,1,0.5719642857142857,0.0,0.30178311105363603
57,1856,100,999528.8124081979,0.6809630031120741,147.9637236842646,1.0,1,0.5721052631578948,0.0,0.30178311105363603
58,1888,100,999528.8124081979,0.6809630031120741,148.03127127648318,1.0,1,0.5724137931034483,0.0,0.30178311105363603
